aloof;" কিয়দ্দুরে";;;
clangor;" একটানা ঝনঝনে শব্দ; একটানা ঠনঠনে শব্দ; ";;;
conventional;"গতানুগতিক";;;
debunk;" মিথ্যা ধারণা উন্মোচন করা";;;
diminutive;" ক্ষুদ্র, সংকোচিত";;;
discernible;"স্পষ্টভাবে প্রতীয়মান";;;
enigmatic;" প্রহেলিকাময় বা প্রহেলিকার মত; দুর্বোধ্য";;;
estranged;" পর করা; বিচ্ছিন্ন করা; ছাড়াছাড়ি করাইয়া দেত্তয়া; বিছিন্ন করা; ";;;
extravagant;" অমিতব্যয়ী";;;
fanciful;" কল্পনাপূর্ণ,খেয়ালী,অবাস্তব";;;
frivolous;"অসার";;;
heterogeneous;" বিবিধ জাতীয় পদার্থে গঠিত";;;
imperious;" উদ্ধত; দাম্ভিক";;;
impertinent;" উদ্ধত; অশিষ্ট; বেয়াদব";;;
invasive;" আক্রমণকর; ";;;
irresolute;" অস্থিরসঙ্কল্প, অস্থিরচিত্ত";;;
laudable;" প্রশংসনীয়";;;
lax;" শিথিল, অমনোযোগী";;;
marginalize;" অকিঞ্চিত্কর করে তোলা; ";;;
panache;"great confidence of style or manner";;;
plodding;" শ্রমশীল; ";;;
prosaic;" গতানুগতিক; গদ্যময়; বেরসিক; সাধারণ; গদ্যতুল্য; নীরস; গদ্যবৎ; কবিত্বহীন; গদ্যবত্; ; ";;;
remedial;" আরোগ্যকর, প্রতিকারসাধক";;;
restive;" চঞ্চল; অস্থির";;;
sporadic;" বিক্ষিপ্ত";;;
stigmatize;" কলঙ্কিত করা; কঠোর নিন্দা করা";;;
undermine;" অধঃখনন করা, গোপনে বিরুদ্ধাচরণ করা";;;
utterly;" সম্পূর্ণূরূপে";;;
weary;" অবসন্ন, ক্লান্ত";;;
zealous;" অত্যন্ত আগ্রহশীল";;;
